SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
MBNL3	gene36515	55796	muscleblind-like splicing regulator 3	X	-131503343	0.8	1.99	2.04	0.75	0.36	0.32	1.01	1.16	0.79
HS6ST2	gene36516	90161	heparan sulfate 6-O-sulfotransferase 2	X	-131760038	2.31	2.91	2.17	0.95	0.91	1.11	4.64	4.59	1.04
USP26	gene36518	83844	ubiquitin specific peptidase 26	X	-132159507	0	0	0	0	0.03	0	0	0	0
LOC100533716	gene36519	100533716	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53 pseudogene	X	NA	0.02	0.06	0.02	0.04	0	0.02	0.25	0.18	0.01
FLJ33534	gene3652	285150	uncharacterized LOC285150	2	 -11239977	0	0	0	0.04	0	0	0	0	0
GPC4	gene36521	2239	glypican 4	X	-132435064	4.9	43.1	34.2	22.64	7.8	5.41	9.21	7.63	26.96
GPC3	gene36522	2719	glypican 3	X	-132669776	38.1	46.04	33.19	16.24	16.58	15.99	72.38	44.03	13.73
RPSAP63	gene36524	100270755	ribosomal protein SA pseudogene 63	X	NA	0.13	0.07	0	0	0	0	0	0	0.05
RPL6P4	gene3653	645054	ribosomal protein L6 pseudogene 4	2	NA	0	0.08	0.09	0	0	0	0	0	0
LARP1BP3	gene36532	644403	La ribonucleoprotein domain family, member 1B pseudogene 3	X	NA	0.17	0.16	0.37	0.09	0.2	0.2	0.84	0.96	0.07
CCDC160	gene36533	347475	coiled-coil domain containing 160	X	 133371077	11.82	7.54	7.74	3.42	2.87	1.74	14.51	12.54	1.77
PHF6	gene36535	84295	PHD finger protein 6	X	 133507342	21.48	27.72	22.63	11.86	13.72	14.7	31.45	31.33	11.31
HPRT1	gene36536	3251	hypoxanthine phosphoribosyltransferase 1	X	 133594175	5.97	6.65	5.38	8.53	5.91	7.07	10.44	11.07	7.95
RPL36AP54	gene36537	100271612	ribosomal protein L36a pseudogene 54	X	NA	0.38	0	0	0	0	0	0.6	0.45	0
C2orf50	gene3654	130813	chromosome 2 open reading frame 50	2	  11273179	0	0	0	0.07	0.07	0	0.1	0.08	0.05
MGC16121	gene36542	NA	NA	NA	NA	0.09	0.29	0.2	0	0.85	0.73	0	0.11	0.07
LINC00629	gene36545	100506757	long intergenic non-protein coding RNA 629	X	 133684054	0.05	0.05	0	0.05	0.17	0	0.04	0.06	0
PLAC1	gene36546	10761	placenta-specific 1	X	-133699873	0	0.13	0.07	0.12	0.07	0.34	0.14	0.21	0.22
RPL21P133	gene36547	100271391	ribosomal protein L21 pseudogene 133	X	NA	0.14	0	0	0	0	0	0	0	0
RPS7P12	gene36548	100270914	ribosomal protein S7 pseudogene 12	X	NA	0	0	0	0.12	0	0	0	0	0
FAM122B	gene36549	159090	family with sequence similarity 122B	X	-133903596	5.28	8.41	7.19	3.79	4.45	3.77	9.05	9	3.96
PQLC3	gene3655	130814	PQ loop repeat containing 3	2	  11295540	2.3	3.09	2.53	2.11	4.68	3.87	1.55	2.14	1.59
FAM122C	gene36550	159091	family with sequence similarity 122C	X	 133941223;  133930443;  133941205	0.93	1.8	1.91	0.51	1.19	0.78	1.94	1.44	0.62
MOSPD1	gene36551	56180	motile sperm domain containing 1	X	-134021662	2.21	3.81	3.7	2.83	3.62	4.29	3.76	3.39	2.64
HMGB3P31	gene36552	392545	high mobility group box 3 pseudogene 31	X	NA	0	0	0	0.15	0	0.16	0	0	0
CXorf69	gene36553	NA	NA	NA	NA	0.24	0.09	0.09	0.43	0.1	0.1	0.14	0.05	0.44
FAM127C	gene36554	441518	family with sequence similarity 127, member C	X	-134154534	3.7	5.02	3.37	2.62	3.64	3.22	5.04	4.89	2.25
FAM127A	gene36555	8933	family with sequence similarity 127, member A	X	 134166333	16.23	35.07	29.31	15.32	32.39	23.18	24.82	27.47	14.54
FAM127B	gene36556	26071	family with sequence similarity 127, member B	X	-134184963	14.38	23.17	20.6	13.21	18.05	14.78	22.46	22.68	11.73
LINC00087	gene36558	644596	long intergenic non-protein coding RNA 87	X	-134229015	0.53	1.27	0.8	0.84	0.77	0.8	1	0.75	0.85
ROCK2	gene3656	9475	Rho-associated, coiled-coil containing protein kinase 2	2	 -11321778	4.81	6.81	6.87	4.42	7.07	8.15	7.16	6.7	4.74
LOC100287728	gene36560	100287728	uncharacterized LOC100287728	X	NA	0	0.23	0	0	0	0	0.18	0	0
CXorf48	gene36562	NA	NA	NA	NA	0	0.04	0.11	0	0	0.04	0.05	0.04	0
LOC728470	gene36563	728470	cancer/testis antigen 55 pseudogene	X	NA	0.03	0.03	0.07	0.03	0.14	0.03	0.12	0.07	0.02
LOC650024	gene36564	650024	cancer/testis antigen 55 pseudogene	X	NA	0.05	0.06	0.05	0.02	0.03	0.01	0.11	0.09	0.02
ZNF75D	gene36566	7626	zinc finger protein 75D	X	-134419723	1.33	1.68	1.49	0.84	1.79	1.48	1.8	2.29	0.69
ZNF449	gene36568	203523	zinc finger protein 449	X	 134478696	1.42	2.95	2.37	0.84	2.83	1.88	2.44	2.62	0.75
LINC00086	gene36570	399668	long intergenic non-protein coding RNA 86	X	 134555868	0.53	1.15	0.84	0.72	0.64	0.51	0.74	0.77	0.38
CROCCP1	gene36571	392547	ciliary rootlet coiled-coil, rootletin pseudogene 1	X	NA	0.01	0	0	0	0.01	0	0.03	0	0.01
DDX26B	gene36573	203522	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	X	 134654555	1.71	3.53	2.96	1.13	1.42	1.41	3.1	3.21	1.14
CT45A1	gene36577	541466	cancer/testis antigen family 45, member A1	X	 134847185	0	0	0	0	0	0	0	0	0.01
CT45A3	gene36579	441519	cancer/testis antigen family 45, member A3	X	 134883488	0.03	0	0	0	0	0	0	0	0.01
LOC100422588	gene36580	100422588	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase pseudogene	X	NA	0.02	0.05	0.02	0	0	0	0.02	0.13	0
LOC100422589	gene36581	100422589	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase pseudogene	X	NA	0.02	0.05	0.02	0	0	0	0.02	0.13	0
CT45A4	gene36582	441520	cancer/testis antigen family 45, member A4	X	 134866214; -134928697	0.03	0	0	0	0	0	0	0	0.01
CT45A5	gene36583	441521	cancer/testis antigen family 45, member A5	X	-134945651	0	0.05	0	0	0	0	0	0.06	0.04
CT45A6	gene36584	541465	cancer/testis antigen family 45, member A6	X	-134963215	0	0	0	0	0	0	0	0	0.01
SAGE1	gene36585	55511	sarcoma antigen 1	X	 134975785	0.02	0	0	0	0	0	0	0	0
LOC100129813	gene36586	100129813	cancer/testis antigen family 45 member A pseudogene	X	NA	0	0	0	0	0.03	0	0	0	0
MMGT1	gene36587	93380	membrane magnesium transporter 1	X	-135044231	4.24	7.14	4.98	4.05	4.59	5.21	8.09	5.77	3.93
SLC9A6	gene36588	10479	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6	X	 135067586;  135067583	2.71	3.99	3.18	1.81	2.66	2.41	4.43	4.43	2.08
LOC139542	gene36590	139542	E2F transcription factor 6 pseudogene	X	NA	0	0	0	0	0	0	0	0	0.12
FHL1	gene36591	2273	four and a half LIM domains 1	X	 135228861;  135251796;  135251455;  135278913;  135229559;  135230737;  135279055	21.49	18.4	16.46	5.99	12.16	9.15	35.2	33.64	5.91
MAP7D3	gene36592	79649	MAP7 domain containing 3	X	-135298974; -135295379	3.33	3.56	2.46	2.84	2.29	2.73	5.29	5.42	2.9
GPR112	gene36594	139378	G protein-coupled receptor 112	X	 135383122	0	0	0	0	0	0.01	0	0	0
HTATSF1	gene36596	27336	HIV-1 Tat specific factor 1	X	 135579238;  135579671	17.79	19.92	18.54	13.79	10.21	12.38	31.09	27.44	13.44
VGLL1	gene36597	51442	vestigial-like family member 1	X	 135614311	0.05	0	0	0.06	0.06	0	0	0	0.04
LOC100128420	gene36599	NA	NA	NA	NA	0	0	0	0	0	0.12	0	0	0
ESPNP	gene366	284729	espin pseudogene	1	 -17017713	0.12	0.13	0.1	0	0.07	0	0	0.07	0.02
E2F6	gene3660	1876	E2F transcription factor 6	2	 -11584501	5.34	6.78	6.12	3.52	3.75	3.33	8.93	7.7	4.09
ARHGEF6	gene36601	9459	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	X	-135747712	0.67	0.92	0.88	0.97	2.24	2.1	0.95	1.03	0.78
RPL7P56	gene36603	728962	ribosomal protein L7 pseudogene 56	X	NA	0.09	0	0	0	0	0	0	0	0
RANP4	gene36604	100130621	RAN, member RAS oncogene family pseudogene 4	X	NA	0.33	0.48	0.25	0.35	0.26	0.13	0.09	0	0.08
RBMX	gene36606	27316	RNA binding motif protein, X-linked	X	-135955606; -135951353	116.88	147.13	122.37	89.3	78.96	76.68	185.01	179.98	101.33
LOC100420958	gene36609	100420958	transmembrane 9 superfamily member 2 pseudogene	X	NA	0.34	0.69	0.64	0.21	0.46	0.3	1.08	0.81	0.21
GREB1	gene3661	9687	growth regulation by estrogen in breast cancer 1	2	  11682851;   11680080;   11674242	6.08	8.37	7.11	3	3.44	2.6	16.07	11.8	2.52
RAC1P4	gene36612	286472	ras-related C3 botulinum toxin substrate 1 pseudogene 4	X	NA	0	0.15	0	0	0	0	0	0	0
LOC100996525	gene36613	NA	NA	NA	NA	0.05	0.11	0.34	0.15	0.06	0	0.04	0	0.08
ZIC3	gene36614	7547	Zic family member 3	X	 136648346	8.98	30.42	23.91	9.45	1.38	0.92	12.01	15.99	10.37
ZFYVE9P1	gene36615	100289259	zinc finger, FYVE domain containing 9 pseudogene 1	X	NA	0	0	0.04	0	0.04	0	0.03	0	0
LOC158696	gene36618	NA	NA	NA	NA	0.12	0.2	0.26	0.06	0	0.04	0.21	0.1	0.06
FGF13	gene36619	2258	fibroblast growth factor 13	X	-137713734	4.52	10.44	8.12	8.38	1.7	1.42	4.21	5.02	7.13
FGF13-AS1	gene36621	100129662	FGF13 antisense RNA 1	X	 137794269	0.74	0.27	0.09	0.44	0	0	0.95	0.5	1.08
SRD5A1P1	gene36624	6719	steroid-5-alpha-reductase, alpha polypeptide 1 pseudogene 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha pseudogene)	X	 138528978	0	0	0.06	0.03	0	0.03	0.02	0	0.02
MCF2	gene36626	4168	MCF.2 cell line derived transforming sequence	X	-138663930	0	0.02	0.04	0.13	0	0.02	0.03	0	0.07
ATP11C	gene36628	286410	ATPase, class VI, type 11C	X	-138808505	4.61	5.8	4.96	5.5	4.62	4.66	7.34	6.26	5.34
HNRNPA3P3	gene36631	643689	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3	X	NA	0	0	0.06	0	0.12	0.04	0	0.06	0
LOC389895	gene36632	389895	chromosome 16 open reading frame 72-like	X	NA	0.26	0.45	0.3	0.6	0	0	0.51	0.38	0.32
SOX3	gene36635	6658	SRY (sex determining region Y)-box 3	X	-139585152	8.65	8.18	4.62	4.58	0.17	0	6.65	6.14	3.28
RP1-177G6.2	gene36636	NA	NA	NA	NA	0.63	1.27	0.96	0.1	0.4	0.32	1.11	0.99	0.13
SPANXB2	gene36639	NA	NA	NA	NA	0	0	0	0.09	0	0	0	0	0
NTSR2	gene3664	23620	neurotensin receptor 2	2	 -11798304	0	0	0	0	0	0	0	0	0.03
SPANXB1	gene36640	728695	SPANX family, member B1	X	 140084756;  140096761	0	0	0	0.09	0	0	0	0	0
RPL36AP52	gene36641	207032	ribosomal protein L36a pseudogene	X	NA	0.27	0	0.31	0.4	0.11	0	0.37	0.76	0.21
LDOC1	gene36642	23641	leucine zipper, down-regulated in cancer 1	X	-140269931	6.36	11.64	9.52	7.26	10.23	8.29	9.02	9.98	6.34
SPANXA2-OT1	gene36646	619455	SPANXA2 overlapping transcript 1	X	 140590843	0.04	0.04	0.04	0	0.04	0.04	0.09	0	0
MAGEC3	gene36651	139081	melanoma antigen family C, 3	X	 140926102;  140982452	0	0	0.04	0	0	0	0.03	0	0
LOC100420228	gene36656	100420228	melanoma antigen family C, 3 pseudogene	X	NA	0.01	0.02	0.01	0	0	0	0.03	0.02	0.01
LPIN1	gene3666	23175	lipin 1	2	  11886722;   11864460;   11817705	4.14	5.1	4.48	2.54	5.7	5.42	6.97	7.29	2.08
MYCL3	gene36664	NA	NA	NA	NA	0.1	0.11	0.06	0	0	0	0.08	0.06	0
SLITRK4	gene36665	139065	SLIT and NTRK-like family, member 4	X	-142710595	0.45	0.45	0.35	0.18	1.02	0.96	0.69	0.53	0.24
LOC100129368	gene36666	NA	NA	NA	NA	0.05	0.06	0	0	0.06	0	0	0	0
UBE2NL	gene36668	389898	ubiquitin-conjugating enzyme E2N-like	X	 142967173	0	0.12	0.06	0	0	0	0.18	0.07	0.04
LOC100506405	gene3667	100506405	uncharacterized LOC100506405	2	NA	0.25	0.13	0.36	0.46	0.22	0	0.41	0.53	0.14
SLITRK2	gene36674	84631	SLIT and NTRK-like family, member 2	X	 144899347;  144902866	0.01	0.17	0.17	0.06	0	0.02	0	0	0.01
CXorf1	gene36675	NA	NA	NA	NA	0	0	0.03	0	0	0	0	0	0
FMR1-AS1	gene36703	100126270	FMR1 antisense RNA 1	X	-146990949	0.02	0.05	0.03	0.03	0	0	0.03	0.08	0.02
FMR1	gene36704	2332	fragile X mental retardation 1	X	 146993469	7.32	9.76	8.58	4.49	5.92	5.31	12.8	11.62	4.27
FMR1NB	gene36705	158521	fragile X mental retardation 1 neighbor	X	 147062849	0	0	0	0	0	0	0	0.08	0
FTH1P8	gene36706	2501	ferritin, heavy polypeptide 1 pseudogene 8	X	NA	0	0	0.09	0.32	0	0	0.13	0	0
LOC100129661	gene36707	100129661	HCLS1 associated protein X-1 pseudogene	X	NA	0	0.12	0.13	0	0.13	0.13	0.23	0.14	0
RPL7L1P11	gene36708	347509	ribosomal protein L7-like 1 pseudogene 11	X	NA	0.09	0	0	0	0	0	0	0	0
AFF2	gene36709	2334	AF4/FMR2 family, member 2	X	 147800615;  147582139	0.96	1.24	1.23	0.58	1.24	0.96	1.43	1.42	0.58
LOC100506457	gene3671	100506457	uncharacterized LOC100506457	2	NA	0	0	0	0	0	0	0.14	0	0
IDS	gene36710	3423	iduronate 2-sulfatase	X	-148568662; -148560295	5.92	18.44	18.4	4.21	23.29	14.76	9.32	7.6	3.67
IDSP1	gene36711	3424	iduronate 2-sulfatase pseudogene 1	X	NA	0.18	0.15	0.11	0	0.5	0.11	0.3	0.34	0
LOC100131434	gene36712	NA	NA	NA	NA	0.34	1	0.53	0.03	0.35	0.15	0.65	0.69	0
CXorf40A	gene36713	91966	chromosome X open reading frame 40A	X	 148622519;  148626066	1.82	2.88	2.49	1.35	2.07	2.02	3.46	2.47	1.18
HSFX2	gene36715	100130086	heat shock transcription factor family, X linked 2	X	 148855726; -148674172	0	0	0.54	0	0	0	0	0	0
TMEM185A	gene36716	84548	transmembrane protein 185A	X	-148678216	2.81	8.88	6.5	3.4	9.7	8.42	3.95	3.43	2.89
MAGEA11	gene36718	4110	melanoma antigen family A, 11	X	 148793738;  148769903	0	0.07	0.04	0	0	0	0	0	0
LOC100420322	gene36719	100420322	melanoma antigen family A, 10 pseudogene	X	NA	0	0	0	0	0.13	0.27	0	0	0
TMEM185AP1	gene36721	100506205	transmembrane protein 185A pseudogene 1	X	NA	0	0	0	0	0	0	0	0.37	0
HSFX1	gene36722	100506164	heat shock transcription factor family, X linked 1	X	-148674183;  148855726	0.16	0.44	0	0.16	0.67	0.52	0.29	0.15	0.05
CXorf40B	gene36727	541578	chromosome X open reading frame 40B	X	-149100415	4.76	6.88	6	3.28	7.38	5.92	7.25	6.55	4.16
LOC100272228	gene36728	NA	NA	NA	NA	0.79	1.55	1.01	0.11	0.79	0.59	2.51	1.68	0.14
LOC643015	gene36729	643015	nucleolar protein 11 pseudogene	X	NA	0.03	0	0	0	0.06	0.03	0.02	0	0.02
TRIB2	gene3673	28951	tribbles pseudokinase 2	2	  12856998	14.87	21.31	18.42	11.1	18.87	13.48	27.47	22.28	10.11
LOC389901	gene36731	NA	NA	NA	NA	0.02	0	0	0	0	0	0	0	0
MAMLD1	gene36732	10046	mastermind-like domain containing 1	X	 149531551;  149613720	0.22	0.79	0.77	0.1	0.95	0.8	0.42	0.4	0.08
MTM1	gene36733	4534	myotubularin 1	X	 149737047	2.68	2.63	2.42	1.52	2.17	2.01	3.74	3.43	1.55
MTMR1	gene36734	8776	myotubularin related protein 1	X	 149861869	2.24	2.98	2.61	2.53	1.35	1.99	4.47	4.07	2.29
CD99L2	gene36735	83692	CD99 molecule-like 2	X	-149934809	6.96	11.14	8.57	3.29	7.25	5.83	12.72	12.13	2.8
HMGB3	gene36736	3149	high mobility group box 3	X	 150151763	15.04	24.43	21.26	21.42	9.99	10.73	30.3	28.55	22.67
RPL19P21	gene36737	392557	ribosomal protein L19 pseudogene 21	X	NA	0	0.11	0.12	0	0.12	0	0	0.25	0.08
GPR50	gene36739	9248	G protein-coupled receptor 50	X	 150345056	0.45	0.29	0.49	0.7	0.5	0.25	0.73	0.95	0.65
VMA21	gene36741	203547	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)	X	 150565657	7.94	9.18	7.57	6.35	4.43	4.2	20.21	17.94	6.5
PRRG3	gene36743	79057	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	X	 150866779;  150863730	0.88	1.32	0.73	0.41	0.47	0.18	0.82	1.13	0.3
MAGEA4	gene36747	4103	melanoma antigen family A, 4	X	 151084709;  151081361;  151085397;  151086760	0	0	0	0.11	0	0	0	0	0.03
GABRE	gene36748	2564	gamma-aminobutyric acid (GABA) A receptor, epsilon	X	-151121596	0.17	0.61	0.37	0.1	1.14	0.51	0.28	0.25	0.17
LOC100506474	gene3675	100506474	uncharacterized LOC100506474	2	 -13106908	0	0	0	0	0.11	0.07	0	0	0
MAGEA10	gene36754	4109	melanoma antigen family A, 10	X	-151301783	0.07	0.05	0.08	0	0.03	0.08	0.21	0.22	0.02
GABRA3	gene36755	2556	gamma-aminobutyric acid (GABA) A receptor, alpha 3	X	-151335634	1.17	0.99	0.96	0.88	0.2	0.3	1.37	1.2	1.21
KRT8P8	gene36759	402429	keratin 8 pseudogene 8	X	NA	0	0	0.04	0.04	0.04	0.04	0	0	0
GABRQ	gene36760	55879	gamma-aminobutyric acid (GABA) A receptor, theta	X	 151806637	0.43	0.63	0.6	0.64	0.07	0.22	0.71	0.41	0.89
LOC100420250	gene36761	100420250	melanoma antigen family A, 4 pseudogene	X	NA	0	0	0	0.08	0	0	0	0.09	0
CSAG3	gene36763	389903	CSAG family, member 3	X	-151876743;  151927734;  151927811	0	0.15	0	0.1	0	0	0	0	0
MAGEA2B	gene36764	266740	melanoma antigen family A, 2B	X	 151885384; -151918404	0	0	0.04	0.04	0	0.09	0	0	0.06
CSAG1	gene36767	158511	chondrosarcoma associated gene 1	X	 151903228	0.08	0	0	0	0	0	0	0	0
MAGEA2	gene36768	4101	melanoma antigen family A, 2	X	 151883119; -151918388	0	0	0	0	0	0	0.05	0	0
CSAG2	gene36769	102723547	CSAG family, member 2	X	NA	0	0.05	0	0	0	0	0	0	0
FAM84A	gene3677	151354	family with sequence similarity 84, member A	2	  14772810	0.78	0.81	0.54	0.11	1.08	0.89	1.62	1.35	0.14
PSMAGEA	gene36771	139041	melanoma antigen family A, 4 pseudogene	X	NA	0	0.02	0.03	0	0	0	0	0	0
CETN2	gene36772	1069	centrin, EF-hand protein, 2	X	-151995871	18.8	32.67	26.25	17.13	26.68	23.68	29.08	26.33	12.65
NSDHL	gene36773	50814	NAD(P) dependent steroid dehydrogenase-like	X	 151999511	4.96	14.45	11.49	8.73	16.64	12.64	11.56	10.3	10.55
ZNF185	gene36774	7739	zinc finger protein 185 (LIM domain)	X	 152082986;  152110215;  152086409	4.33	3.33	2.31	1.78	3.24	2.68	9.29	7.64	1.81
PNMA5	gene36775	114824	paraneoplastic Ma antigen family member 5	X	-152157368	0	0	0	0.02	0	0	0	0	0.01
PNMA3	gene36777	29944	paraneoplastic Ma antigen 3	X	 152224766	0.64	1.47	0.79	0.54	0.22	0.31	1.55	1.64	0.7
PNMA6C	gene36778	NA	NA	NA	NA	0.61	1.17	0.4	0.34	0.34	0.05	0.76	0.63	0.84
PNMA6D	gene36779	100287466	paraneoplastic Ma antigen family member 6D (pseudogene)	X	-152243996;  152240727	0	0.1	0.29	0.16	0.23	0.08	0	0	0
NBAS	gene3678	51594	neuroblastoma amplified sequence	2	 -15307032	6.43	8.75	7.94	3.39	7.85	6.95	10.2	8.26	2.63
PNMA6A	gene36780	84968	paraneoplastic Ma antigen family member 6A	X	 152240839; -152244152	0	0	0.23	0.26	0	0.33	0	0	0.14
PNMA6B	gene36781	728513	paraneoplastic Ma antigen family member 6B (pseudogene)	X	NA	0	0	0	0	0	0	0.48	0.17	0
ZNF275	gene36785	10838	zinc finger protein 275	X	 152599613	1.44	3.2	2.53	1.35	2.91	2.15	2.82	2.92	1.32
LOC649238	gene36786	649238	putative paraneoplastic antigen-like protein 6B-like	X	NA	0.05	0	0	0	0	0	0	0	0
ZFP92	gene36787	139735	ZFP92 zinc finger protein	X	 152683781	0	0	0	0.05	0.12	0	0.04	0	0
TREX2	gene36788	11219	three prime repair exonuclease 2	X	-152710178	0	0	0	0	0	0	0.08	0	0.08
HAUS7	gene36789	55559	HAUS augmin-like complex, subunit 7	X	-152713123	4.08	5.9	4.57	6.68	5.44	3.87	5.91	6.53	7.88
RPS26P18	gene3679	100271108	ribosomal protein S26 pseudogene 18	2	NA	0	0	0	0	0	0.34	0	0	0
LOC100509091	gene36790	100509091	extracellular matrix protein 2-like	X	NA	0	0	0.07	0	0.11	0.07	0	0	0
BGN	gene36791	633	biglycan	X	 152760347	1.79	5.85	5.62	2.83	40.13	24.93	1.39	1.62	1.81
ATP2B3	gene36792	492	ATPase, Ca++ transporting, plasma membrane 3	X	 152801580	0.01	0.05	0.06	0.01	0.02	0.01	0.01	0.01	0.01
FAM58A	gene36793	92002	family with sequence similarity 58, member A	X	-152853383	3.75	4.98	4.3	3.43	5.89	5.31	4.49	5.57	4.03
KRT18P48	gene36794	340598	keratin 18 pseudogene 48	X	NA	0	0	0	0	0.11	0.04	0	0	0.02
LOC100131652	gene36795	100131652	MORF4 family-associated protein 1-like	X	NA	0	0	0	0	0	0	0.09	0	0
DUSP9	gene36796	1852	dual specificity phosphatase 9	X	 152907897	0.43	0.41	0.49	0.16	0.18	0.15	0.42	0.4	0.06
RPL18AP16	gene36797	347544	ribosomal protein L18a pseudogene 16	X	NA	0.12	0	0.28	0	0	0	0	0.15	0
PNCK	gene36798	139728	pregnancy up-regulated nonubiquitous CaM kinase	X	-152935188	6.4	2.34	1.77	0.79	0.1	0.2	9.13	6.68	0.4
SLC6A8	gene36799	6535	solute carrier family 6 (neurotransmitter transporter), member 8	X	 152954966;  152953752	46.53	30.21	24.22	14.72	8.05	6.37	90.94	61.7	15.63
DDX1	gene3680	1653	DEAD (Asp-Glu-Ala-Asp) box helicase 1	2	  15731745	18.71	29.52	23.13	24.61	31.66	30.79	37.38	30.13	27.98
BCAP31	gene36800	10134	B-cell receptor-associated protein 31	X	-152965947	16.18	32.25	28.57	23.47	41.87	30.09	32.16	33.05	22.93
ABCD1	gene36801	215	ATP-binding cassette, sub-family D (ALD), member 1	X	 152990323	0.77	3.14	3.58	1.47	2.52	1.84	1.4	1.04	1.11
PLXNB3	gene36802	5365	plexin B3	X	 153029651	0.15	0.39	0.28	0.22	0.46	0.54	0.19	0.16	0.09
SRPK3	gene36803	26576	SRSF protein kinase 3	X	 153046456	0	0.03	0.04	0	0	0	0	0	0
IDH3G	gene36804	3421	isocitrate dehydrogenase 3 (NAD+) gamma	X	-153051221	11.89	15.58	14.36	9.99	14.93	11.38	14.38	14.91	9.35
SSR4	gene36805	6748	signal sequence receptor, delta	X	 153059904;  153060019;  153059630	46.32	69.98	65.87	42.29	113.67	82.6	60.01	55.46	43.87
PDZD4	gene36806	57595	PDZ domain containing 4	X	-153067623	3.62	15.04	12.11	15.74	3.47	1.97	4.86	5.12	16.85
L1CAM	gene36808	3897	L1 cell adhesion molecule	X	-153126971	2.73	9.49	7.93	2.52	11.67	8.94	5.56	4.44	2.22
LOC100996465	gene36809	100996465	putative lung carcinoma-associated protein 10-like	X	NA	0.14	0.1	0.26	0	0.05	0.16	0.19	0.11	0
RPLP1P5	gene3681	130678	ribosomal protein, large, P1 pseudogene 5	2	NA	0	0.19	0	0	0	0	0	0	0
AVPR2	gene36810	554	arginine vasopressin receptor 2	X	 153170529;  153167985	0	0	0	0	0.14	0.09	0	0	0
ARHGAP4	gene36811	393	Rho GTPase activating protein 4	X	-153172830	1.63	1.8	1.61	2.51	1.96	1.31	2.46	1.59	2.31
NAA10	gene36812	8260	N(alpha)-acetyltransferase 10, NatA catalytic subunit	X	-153195280	13.79	20.27	16.1	14.68	22.04	14.7	19.21	18.36	16.82
RENBP	gene36813	5973	renin binding protein	X	-153200722	1.07	2.08	1.13	1.22	2.65	1.46	1.6	0.94	1.21
HCFC1	gene36814	3054	host cell factor C1	X	-153213008	11.39	14.81	13.23	10.3	11.09	7.89	22.43	20.63	11.18
TMEM187	gene36815	8269	transmembrane protein 187	X	 153237991	1.74	1.45	1.88	0.71	2.62	1.58	1.95	1.76	0.51
IRAK1	gene36818	3654	interleukin-1 receptor-associated kinase 1	X	-153275957	6.88	8.18	7.5	7.54	11.98	8.28	12.23	12.59	8.3
MYCNOS	gene3682	10408	MYCN opposite strand	2	 -16080020	0.27	0.49	0.21	0.58	0.33	0.11	0.45	0.33	0.42
MECP2	gene36820	4204	methyl CpG binding protein 2	X	-153287264; -153295686	6.32	8.63	7.25	3.94	6.58	5.29	8.58	8.65	4.39
TKTL1	gene36827	8277	transketolase-like 1	X	 153524027;  153533409	0.6	0.65	0.51	0.12	0.06	0.08	0.77	1.3	0.18
FLNA	gene36828	2316	filamin A, alpha	X	-153576900	59.69	96.66	83.31	57.78	94.13	69.54	127.51	99.79	69.49
EMD	gene36829	2010	emerin	X	 153607597	13.08	24.57	21.23	16.55	21.69	17.06	17.88	15.93	17.93
MYCN	gene3683	4613	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	2	  16080683	13.46	20.29	17.47	15.94	4.1	3.64	19.08	18.12	16.27
RPL10	gene36830	6134	ribosomal protein L10	X	 153626571	183.18	243.98	195.62	151.77	232.38	201.36	255.58	230.42	159.21
SNORA70	gene36831	26778	small nucleolar RNA, H/ACA box 70	X	 153628622	539.76	747.31	552.44	791.84	608.29	931.81	41.89	82.06	976.15
DNASE1L1	gene36832	1774	deoxyribonuclease I-like 1	X	-153629579	1.84	2.5	2.08	1.18	3.47	3.32	3.81	3.31	1.07
TAZ	gene36833	6901	tafazzin	X	 153639877	5.69	6.61	6.23	2.37	4.46	4.08	6.06	6.18	1.84
ATP6AP1	gene36834	537	ATPase, H+ transporting, lysosomal accessory protein 1	X	 153656978	15.09	27.56	21.95	10.63	40.04	28.96	24.23	21.52	11.54
GDI1	gene36835	2664	GDP dissociation inhibitor 1	X	 153665259	29.94	67.64	51.59	12.56	40.93	31.22	44.74	45.98	12.76
FAM50A	gene36836	9130	family with sequence similarity 50, member A	X	 153672473	14.1	18.62	18.24	9.92	20.34	15.99	20.03	17.87	10.2
PLXNA3	gene36837	55558	plexin A3	X	 153686623	3.49	10.19	8.16	1.62	5.43	4.61	5.95	5.11	1.33
LAGE3	gene36838	8270	L antigen family, member 3	X	-153705241	3.28	4.03	3.5	3.4	3.71	2.52	2.84	2.76	4.08
